Date,Scans,Active_Devices,Bluetooth
15/01/21,590265,311248,555824
16/01/21,485980,271393,560159
17/01/21,548034,305225,566272
18/01/21,644154,344202,583527
19/01/21,654416,347391,592212
20/01/21,655471,349823,598638
21/01/21,658393,348232,602697
22/01/21,634641,331225,605016
23/01/21,520996,287715,605751
24/01/21,816605,461275,767765
25/01/21,1071707,557435,859369
26/01/21,1075778,549102,830621
27/01/21,1157216,613262,936585
28/01/21,1290492,639025,974704
29/01/21,1278734,619131,981792
30/01/21,1028021,542329,919035
31/01/21,922589,490794,915542
1/02/21,1009644,524992,919144
2/02/21,1044690,539091,924263
3/02/21,1020471,530882,924574
4/02/21,1033386,528189,
5/02/21,977242,499144,922983
6/02/21,836044,441935,915797
7/02/21,698029,385670,910517
8/02/21,832355,449218,917995
9/02/21,890826,470218,924662
10/02/21,884751,465242,924712
11/02/21,922672,478730,926024
12/02/21,893485,456892,924998
13/02/21,733016,399068,916562
14/02/21,1280066,710488,1118638
15/02/21,1501679,761030,1151190
16/02/21,1575084,784965,1132751
17/02/21,1764262,903383,1239074
18/02/21,1854993,875124,1186056
19/02/21,1748817,811563,1184481
20/02/21,1402855,711368,1170410
21/02/21,1375485,706568,1173617
22/02/21,1354728,687554,1171288
23/02/21,1379317,704119,1287698
24/02/21,1394717,710571,1180357
25/02/21,1397820,696849,1246024
26/02/21,1390387,691210,1228252
27/02/21,1318522,701545,1241663
28/02/21,1520302,807694,1234818
1/03/21,1580664,805765,1251302
2/03/21,1573337,815036,1260789
3/03/21,1563692,807011,1263982
4/03/21,1531690,788296,1265891
5/03/21,1502818,763491,1266754
6/03/21,1437982,731898,1258171
7/03/21,1542144,768315,1325907
8/03/21,1499321,752534,1278845
9/03/21,1475265,742377,1270239
10/03/21,1418138,736489,1264676
11/03/21,1470030,724380,1261266
12/03/21,1344059,661487,1254171
13/03/21,1113070,576388,1238464
14/03/21,1108671,588538,1242956
15/03/21,1135788,594123,1240704
16/03/21,1125491,588024,1238123
17/03/21,1106354,584514,1233952
18/03/21,1141332,582603,1229904
19/03/21,1105106,556381,1224961
20/03/21,910056,479192,1209602
21/03/21,910493,492134,1213891
22/03/21,947976,506548,1216460
23/03/21,977922,517609,1290529
24/03/21,985710,522022,1171854
25/03/21,1009532,523382,
26/03/21,962242,491183,1210573
27/03/21,802140,426384,1231104
28/03/21,800398,438349,1240280
29/03/21,837898,451950,1248264
30/03/21,878808,462849,1260010
31/03/21,934515,483762,1266251
1/04/21,597020,355999,1262585
2/04/21,618332,335266,1239163
3/04/21,600425,334594,1241514
4/04/21,429723,262450,1230418
5/04/21,731707,393473,1255721
6/04/21,831560,436065,1268294
7/04/21,821050,432945,1271286
8/04/21,869660,453121,1275650
9/04/21,815255,422810,1274769
10/04/21,658393,352651,1267227
11/04/21,726671,401590,1377353
12/04/21,804661,433612,1374551
13/04/21,811330,431683,1330590
14/04/21,811861,434933,1289966
15/04/21,836565,429984,1289429
16/04/21,788946,403888,1286469
17/04/21,668658,351223,1277022
18/04/21,678987,369736,1284847
19/04/21,753338,395708,1288908
20/04/21,767409,406016,1351780
21/04/21,811817,423717,1297095
22/04/21,815600,419034,1296298
23/04/21,797470,404587,1294474
24/04/21,573665,311922,1283744
25/04/21,540106,302198,1277881
26/04/21,659487,355975,1292388
27/04/21,755555,389363,1298379
28/04/21,749850,388423,1299289
29/04/21,752144,389181,1299553
30/04/21,721817,369823,1297133
1/05/21,602267,317803,1288520
2/05/21,613329,338255,1298012
3/05/21,662454,355889,1300661
4/05/21,675427,359046,1302256
5/05/21,682719,363638,1302359
6/05/21,714461,374380,1303336
7/05/21,679487,352438,1301205
8/05/21,561361,299247,1292770
9/05/21,566847,317763,1302190
10/05/21,612038,333154,1303359
11/05/21,606803,330800,1303641
12/05/21,623984,337524,1302858
13/05/21,648845,342656,1301884
14/05/21,616029,322947,1298549
15/05/21,537623,284900,1289290
16/05/21,529966,295019,1298945
17/05/21,551120,303896,1331697
18/05/21,591375,322358,1371077
19/05/21,600816,326557,1304588
